-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/02/2000 through 11/02/2020 
Location: Latitude  3.0   Longitude 105.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,WS10M,RH2M,T2M
2000,11,2,4.94,87.44,27.05
2000,11,3,4.5,86.19,27.14
2000,11,4,2.77,83.38,27.26
2000,11,5,2.0,81.0,27.08
2000,11,6,2.53,80.44,27.49
2000,11,7,4.17,83.62,27.6
2000,11,8,4.15,83.38,27.55
2000,11,9,5.21,85.12,27.38
2000,11,10,5.45,86.94,27.04
2000,11,11,5.56,87.19,27.33
2000,11,12,5.38,86.44,27.54
2000,11,13,6.05,85.5,27.75
2000,11,14,4.41,85.19,27.84
2000,11,15,4.8,86.19,27.27
2000,11,16,3.1,88.06,26.83
2000,11,17,2.84,83.31,27.51
2000,11,18,2.97,83.06,28.01
2000,11,19,3.56,85.06,27.98
2000,11,20,4.63,86.44,27.93
2000,11,21,4.82,87.75,27.41
2000,11,22,4.1,87.06,27.14
2000,11,23,3.16,84.81,26.9
2000,11,24,4.94,86.06,27.46
2000,11,25,4.55,87.38,27.34
2000,11,26,3.07,86.31,26.94
2000,11,27,3.81,88.5,26.64
2000,11,28,6.27,87.62,27.09
2000,11,29,6.19,85.81,27.1
2000,11,30,7.23,88.0,26.91
2000,12,1,5.29,87.44,26.91
2000,12,2,5.77,85.12,26.92
2000,12,3,5.18,85.0,27.1
2000,12,4,5.01,82.56,27.4
2000,12,5,6.2,81.19,27.45
2000,12,6,5.2,81.5,27.3
2000,12,7,5.65,81.69,27.49
2000,12,8,4.72,81.38,27.55
2000,12,9,3.32,79.38,27.59
2000,12,10,3.58,82.75,27.3
2000,12,11,3.95,84.38,27.08
2000,12,12,4.45,86.56,26.93
2000,12,13,3.92,87.69,26.83
2000,12,14,3.68,88.31,26.81
2000,12,15,4.6,88.69,26.6
2000,12,16,4.44,86.06,27.02
2000,12,17,4.8,87.06,26.93
2000,12,18,4.53,89.38,26.09
2000,12,19,3.59,88.94,26.4
2000,12,20,1.41,86.75,26.19
2000,12,21,4.88,88.62,26.53
2000,12,22,7.52,87.94,26.87
2000,12,23,8.7,86.25,26.81
2000,12,24,7.88,84.19,26.76
2000,12,25,7.0,82.62,26.74
2000,12,26,6.37,83.19,26.59
2000,12,27,6.04,87.75,26.28
2000,12,28,4.34,86.94,26.49
2000,12,29,1.86,86.12,26.28
2000,12,30,2.64,88.06,26.15
2000,12,31,6.43,88.06,26.27
2001,1,1,7.91,85.12,25.98
2001,1,2,6.91,82.0,26.08
2001,1,3,5.82,83.06,25.9
2001,1,4,4.74,80.06,26.24
2001,1,5,3.98,77.06,26.77
2001,1,6,4.77,83.56,26.57
2001,1,7,5.15,83.06,26.55
2001,1,8,5.64,83.31,26.31
2001,1,9,6.23,83.44,26.24
2001,1,10,5.33,83.94,26.14
2001,1,11,4.53,86.44,25.76
2001,1,12,3.12,85.88,25.7
2001,1,13,1.69,87.5,25.5
2001,1,14,4.37,87.0,26.04
2001,1,15,6.23,88.0,25.95
2001,1,16,6.52,86.94,26.13
2001,1,17,7.28,89.0,26.17
2001,1,18,4.96,89.19,26.23
2001,1,19,5.44,87.31,26.43
2001,1,20,5.69,88.12,26.48
2001,1,21,5.95,88.44,26.46
2001,1,22,6.73,89.75,26.18
2001,1,23,4.96,88.25,26.28
2001,1,24,4.59,89.19,26.33
2001,1,25,3.14,88.38,26.24
2001,1,26,3.45,88.62,26.46
2001,1,27,3.76,89.0,26.49
2001,1,28,5.66,86.0,26.76
2001,1,29,7.87,83.5,27.05
2001,1,30,8.69,84.44,26.84
2001,1,31,6.61,89.12,26.15
2001,2,1,4.36,90.5,25.37
2001,2,2,5.02,90.38,25.57
2001,2,3,5.01,89.25,25.73
2001,2,4,5.89,89.44,25.77
2001,2,5,5.99,90.5,25.9
2001,2,6,6.85,89.69,26.14
2001,2,7,5.84,89.44,25.91
2001,2,8,6.03,89.12,25.57
2001,2,9,6.8,91.12,25.47
2001,2,10,7.49,91.12,25.37
2001,2,11,8.1,88.12,26.24
2001,2,12,7.27,87.88,26.39
2001,2,13,6.88,90.31,26.04
2001,2,14,8.53,87.38,26.32
2001,2,15,9.18,85.56,26.36
2001,2,16,8.95,82.62,26.26
2001,2,17,7.52,81.12,26.18
2001,2,18,6.04,81.12,26.2
2001,2,19,5.46,85.06,25.84
2001,2,20,5.46,84.56,25.96
2001,2,21,3.09,81.19,25.86
2001,2,22,3.82,81.38,26.5
2001,2,23,3.41,81.5,26.55
2001,2,24,4.09,84.19,26.52
2001,2,25,2.26,76.44,26.16
2001,2,26,4.73,81.94,26.74
2001,2,27,4.91,77.31,26.94
2001,2,28,5.87,80.06,26.55
2001,3,1,5.91,80.12,26.82
2001,3,2,6.98,82.31,27.43
2001,3,3,6.55,82.88,27.27
2001,3,4,6.7,87.25,26.4
2001,3,5,8.57,87.62,26.62
2001,3,6,6.75,86.56,26.65
2001,3,7,3.81,86.62,26.42
2001,3,8,2.28,86.06,26.42
2001,3,9,3.38,85.12,26.36
2001,3,10,4.49,87.81,26.58
2001,3,11,4.4,87.0,26.79
2001,3,12,2.98,86.44,26.33
2001,3,13,3.01,85.56,26.48
2001,3,14,3.81,87.25,26.92
2001,3,15,4.66,84.19,27.25
2001,3,16,3.76,84.38,27.08
2001,3,17,2.86,85.94,26.84
2001,3,18,2.3,82.06,27.05
2001,3,19,2.97,83.62,27.15
2001,3,20,1.5,83.06,26.77
2001,3,21,3.28,82.56,27.04
2001,3,22,1.86,80.56,27.4
2001,3,23,2.82,84.25,27.32
2001,3,24,3.2,87.06,27.02
2001,3,25,4.16,85.94,27.5
2001,3,26,3.27,80.19,28.02
2001,3,27,4.6,84.12,27.87
2001,3,28,3.78,82.75,28.11
2001,3,29,3.16,84.69,27.65
2001,3,30,1.34,82.38,27.41
2001,3,31,2.13,81.19,27.71
2001,4,1,2.71,81.69,27.91
2001,4,2,2.73,82.38,28.04
2001,4,3,2.56,81.81,28.07
2001,4,4,3.09,83.62,27.66
2001,4,5,1.67,82.12,27.34
2001,4,6,1.84,81.38,27.61
2001,4,7,2.24,81.62,27.48
2001,4,8,1.28,77.94,27.82
2001,4,9,1.27,76.12,28.3
2001,4,10,1.37,79.25,27.86
2001,4,11,1.71,71.69,28.41
2001,4,12,1.84,72.62,28.51
2001,4,13,2.78,80.75,28.05
2001,4,14,2.07,78.69,28.26
2001,4,15,1.91,78.31,28.16
2001,4,16,2.34,80.75,28.01
2001,4,17,2.12,81.94,27.83
2001,4,18,1.5,79.12,27.83
2001,4,19,1.52,75.88,28.33
2001,4,20,1.62,77.0,28.37
2001,4,21,3.86,82.25,28.51
2001,4,22,3.38,83.94,28.3
2001,4,23,2.88,85.38,28.03
2001,4,24,2.41,84.94,27.79
2001,4,25,1.84,83.69,27.68
2001,4,26,1.73,83.38,27.8
2001,4,27,0.94,82.5,27.8
2001,4,28,1.98,80.0,28.35
2001,4,29,5.06,86.19,28.33
2001,4,30,3.5,86.31,28.02
2001,5,1,2.4,82.19,28.52
2001,5,2,1.36,79.31,28.58
2001,5,3,2.28,78.12,28.93
2001,5,4,2.78,80.25,28.98
2001,5,5,2.66,81.0,28.72
2001,5,6,2.36,78.62,28.99
2001,5,7,1.98,78.75,28.87
2001,5,8,2.27,80.19,28.75
2001,5,9,2.16,79.5,28.81
2001,5,10,2.69,82.25,28.73
2001,5,11,1.79,77.12,28.86
2001,5,12,1.7,79.81,28.26
2001,5,13,2.2,81.38,28.26
2001,5,14,3.75,80.81,28.87
2001,5,15,4.8,82.31,29.35
2001,5,16,3.54,81.81,29.08
2001,5,17,2.92,83.88,29.0
2001,5,18,3.29,82.25,28.57
2001,5,19,4.12,83.44,28.81
2001,5,20,4.06,82.06,28.95
2001,5,21,4.34,79.25,29.33
2001,5,22,4.62,80.44,29.31
2001,5,23,4.45,81.44,29.26
2001,5,24,4.11,81.88,29.13
2001,5,25,4.62,78.5,29.55
2001,5,26,4.16,77.62,29.38
2001,5,27,4.12,81.44,28.66
2001,5,28,3.3,81.0,28.33
2001,5,29,1.99,79.94,27.94
2001,5,30,2.91,83.25,28.05
2001,5,31,3.15,81.19,28.58
2001,6,1,2.91,78.88,28.95
2001,6,2,2.13,78.31,28.78
2001,6,3,1.31,74.56,28.65
2001,6,4,1.76,79.06,28.23
2001,6,5,2.3,83.38,27.91
2001,6,6,3.53,85.25,27.8
2001,6,7,3.98,86.06,27.78
2001,6,8,4.09,79.19,28.15
2001,6,9,2.27,76.75,28.14
2001,6,10,3.15,76.12,29.02
2001,6,11,3.01,79.5,28.82
2001,6,12,1.58,76.44,28.55
2001,6,13,1.26,75.69,28.59
2001,6,14,4.12,79.94,28.89
2001,6,15,3.52,79.0,28.65
2001,6,16,4.49,79.19,28.58
2001,6,17,5.26,81.44,28.54
2001,6,18,6.39,78.12,28.84
2001,6,19,5.01,80.38,28.44
2001,6,20,5.77,79.19,28.7
2001,6,21,6.57,78.06,29.04
2001,6,22,6.37,83.0,28.58
2001,6,23,6.15,84.69,28.01
2001,6,24,5.62,84.88,28.33
2001,6,25,6.03,85.62,28.01
2001,6,26,6.5,83.88,28.02
2001,6,27,6.33,81.69,28.32
2001,6,28,6.73,85.25,28.28
2001,6,29,7.5,78.38,28.47
2001,6,30,5.94,79.06,28.63
2001,7,1,5.86,80.19,29.01
2001,7,2,7.98,78.38,29.36
2001,7,3,7.89,79.75,29.22
2001,7,4,6.84,79.19,28.98
2001,7,5,7.84,78.81,29.11
2001,7,6,8.34,76.69,29.08
2001,7,7,7.36,73.75,29.15
2001,7,8,6.55,73.81,29.0
2001,7,9,4.81,75.69,28.89
2001,7,10,4.73,77.31,28.95
2001,7,11,4.58,81.06,28.61
2001,7,12,3.73,82.44,28.27
2001,7,13,4.21,83.06,28.23
2001,7,14,5.64,81.38,28.62
2001,7,15,5.51,82.94,28.69
2001,7,16,4.0,83.06,28.42
2001,7,17,2.98,81.31,28.23
2001,7,18,2.78,80.62,27.99
2001,7,19,3.95,80.44,28.63
2001,7,20,4.39,83.25,28.55
2001,7,21,4.93,85.44,28.25
2001,7,22,5.16,85.62,28.19
2001,7,23,3.19,79.19,28.47
2001,7,24,3.44,80.19,28.38
2001,7,25,5.05,81.69,28.39
2001,7,26,6.14,83.88,27.8
2001,7,27,5.73,78.56,28.8
2001,7,28,5.83,81.38,28.37
2001,7,29,4.37,82.31,27.88
2001,7,30,4.37,84.69,27.84
2001,7,31,4.0,84.88,27.72
2001,8,1,3.87,85.88,27.21
2001,8,2,2.12,84.69,26.8
2001,8,3,3.01,79.69,26.91
2001,8,4,3.28,80.75,27.48
2001,8,5,5.77,86.19,27.57
2001,8,6,7.61,83.81,28.23
2001,8,7,6.52,81.94,28.35
2001,8,8,5.45,82.25,28.16
2001,8,9,4.6,85.12,27.4
2001,8,10,6.02,83.06,28.15
2001,8,11,5.5,81.75,28.44
2001,8,12,5.09,75.62,29.08
2001,8,13,4.96,75.75,29.01
2001,8,14,4.79,80.19,28.62
2001,8,15,5.34,83.31,28.53
2001,8,16,6.77,81.56,28.69
2001,8,17,6.09,83.94,28.42
2001,8,18,5.3,84.75,28.2
2001,8,19,5.05,85.06,28.28
2001,8,20,6.11,86.62,28.19
2001,8,21,6.34,83.12,28.07
2001,8,22,7.0,82.12,28.51
2001,8,23,5.13,82.81,28.55
2001,8,24,4.61,81.38,28.73
2001,8,25,6.14,83.12,28.98
2001,8,26,6.4,82.69,28.62
2001,8,27,7.17,84.06,28.06
2001,8,28,5.98,83.56,27.9
2001,8,29,5.82,84.12,28.15
2001,8,30,5.61,87.25,27.58
2001,8,31,3.17,81.06,27.43
2001,9,1,4.55,82.56,28.33
2001,9,2,3.87,81.69,28.2
2001,9,3,4.73,82.88,28.18
2001,9,4,5.14,83.88,28.05
2001,9,5,4.92,85.12,27.84
